donnemartin/system-design-primer
sloria/TextBlob
openai/universe
ranger/ranger
python-pillow/Pillow
apprenticeharper/DeDRM_tools
pytorch/fairseq
streamlit/streamlit
dbader/schedule
sylnsfar/qrcode
docopt/docopt
programthink/zhao
mwaskom/seaborn
scipy/scipy
pallets/jinja
sloria/TextBlob
mirumee/saleor
pwxcoo/chinese-xinhua
EpistasisLab/tpot
rq/rq
awslabs/serverless-application-model
sympy/sympy
Yorko/mlcourse.ai
keras-team/autokeras
bottlepy/bottle
Embedding/Chinese-Word-Vectors
MagicStack/uvloop
shengqiangzhang/examples-of-web-crawlers
rbgirshick/py-faster-rcnn
seatgeek/fuzzywuzzy
eriklindernoren/Keras-GAN
benoitc/gunicorn
worldveil/dejavu
humphd/have-fun-with-machine-learning
pymc-devs/pymc3
jindongwang/transferlearning
statsmodels/statsmodels
ibab/tensorflow-wavenet
bregman-arie/devops-exercises
aymericdamien/TopDeepLearning
belluzj/fantasque-sans
oarriaga/face_classification
joelgrus/data-science-from-scratch
ecthros/uncaptcha2
vishnubob/wait-for-it
FeatureLabs/featuretools
iterative/dvc
lancopku/pkuseg-python
lining0806/PythonSpiderNotes
HIPS/autograd
Uberi/speech_recognition
isnowfy/snownlp
i-tu/Hasklig
python-visualization/folium
dropbox/pyston
likedan/Awesome-CoreML-Models
wbond/package_control
warmheartli/ChatBotCourse
hyperopt/hyperopt
navdeep-G/setup.py
openai/spinningup
diafygi/acme-tiny
larsenwork/monoid
p-e-w/maybe
pyinstaller/pyinstaller
boto/boto
dask/dask
pydanny/cookiecutter-django
mopidy/mopidy
s0md3v/Photon
miguelgrinberg/flasky
yandex/gixy
Zulko/moviepy
Gallopsled/pwntools
netbox-community/netbox
vipstone/faceai
Cadene/pretrained-models.pytorch
30-seconds/30-seconds-of-python
cyrus-and/gdb-dashboard
schollz/howmanypeoplearearound
deepinsight/insightface
kennethreitz-archive/records
plotly/plotly.py
tgalal/yowsup
hugapi/hug
nodejs/node-gyp
deis/deis
pirate/ArchiveBox
lanpa/tensorboardX
pypa/pip
prompt-toolkit/python-prompt-toolkit
paramiko/paramiko
p-e-w/maybe
pyinstaller/pyinstaller
boto/boto
dask/dask
pydanny/cookiecutter-django
mopidy/mopidy
s0md3v/Photon
miguelgrinberg/flasky
yandex/gixy
Zulko/moviepy
Gallopsled/pwntools
netbox-community/netbox
vipstone/faceai
Cadene/pretrained-models.pytorch
30-seconds/30-seconds-of-python
asciimoo/searx
cyrus-and/gdb-dashboard
schollz/howmanypeoplearearound
deepinsight/insightface
kennethreitz-archive/records
plotly/plotly.py
bup/bup
tgalal/yowsup
hugapi/hug
nodejs/node-gyp
deis/deis
pirate/ArchiveBox
lanpa/tensorboardX
pypa/pip
prompt-toolkit/python-prompt-toolkit
paramiko/paramiko
fchollet/deep-learning-models
mlflow/mlflow
numenta/nupic
pyro-ppl/pyro
luyishisi/Anti-Anti-Spider
pyeve/eve
Supervisor/supervisor
mps-youtube/mps-youtube
bbfamily/abu
crsmithdev/arrow
giampaolo/psutil
tensorlayer/tensorlayer
ankitects/anki
ajenti/ajenti
brightmart/text_classification
microsoft/botframework-sdk
wiseodd/generative-models
ReFirmLabs/binwalk
The-Art-of-Hacking/h4cker
Hironsan/BossSensor
kivy/python-for-android
jazzband/django-debug-toolbar
microsoft/c9-python-getting-started
newsapps/beeswithmachineguns
PyMySQL/PyMySQL
frappe/erpnext
facebookresearch/pytext
lebinh/ngxtop
readthedocs/readthedocs.org
Delgan/loguru
crazyguitar/pysheeet
taobao/nginx-book
eriklindernoren/PyTorch-GAN
NVlabs/SPADE
axi0mX/ipwndfu
pytest-dev/pytest
frostming/legit
MobSF/Mobile-Security-Framework-MobSF
yenchenlin/DeepLearningFlappyBird
vibora-io/vibora
microsoft/nni
ytisf/theZoo
xchaoinfo/fuck-login
graphql-python/graphene
jupyterhub/jupyterhub
matrix-org/synapse
instabot-py/instabot.py
samuelclay/NewsBlur
flask-restful/flask-restful
encode/apistar
nate-parrott/Flashlight
a1studmuffin/SpaceshipGenerator
awslabs/aws-shell
thtrieu/darkflow
xiyouMc/WebHubBot
gelstudios/gitfiti
rwv/chinese-dos-games
Dman95/SASM
ufoym/deepo
webpy/webpy
n1nj4sec/pupy
facebookresearch/ParlAI
maxbbraun/trump2cash
chainer/chainer
qqwweee/keras-yolo3
tensorpack/tensorpack
shadowsocksr-backup/shadowsocksr
tensorflow/nmt
pennersr/django-allauth
boto/boto3
USArmyResearchLab/Dshell
spyder-ide/spyder
amoffat/sh
AlessandroZ/LaZagne
detailyang/awesome-cheatsheet
pallets/werkzeug
chrissimpkins/codeface
qutebrowser/qutebrowser
yahoo/open_nsfw
evilsocket/opensnitch
SirVer/ultisnips
OpenMined/PySyft
trustedsec/social-engineer-toolkit
eastlakeside/interpy-zh
tangqiaoboy/iOSBlogCN
hellerve/programming-talks
dennybritz/cnn-text-classification-tf
taigaio/taiga-back
google/seq2seq
achael/eht-imaging
zihangdai/xlnet
houtianze/bypy
david-gpu/srez
karpathy/neuraltalk
b-ryan/powerline-shell
mahmoud/boltons
snare/voltron
apache/incubator-tvm
anishathalye/neural-style
Manisso/fsociety
tkarras/progressive_growing_of_gans
gevent/gevent
numba/numba
SublimeCodeIntel/SublimeCodeIntel
liuwons/wxBot
secdev/scapy
cython/cython
Shougo/deoplete.nvim
rushter/data-science-blogs
altair-viz/altair
google/sanitizers
jwyang/faster-rcnn.pytorch
0x5e/wechat-deleted-friends
donnemartin/dev-setup
MorvanZhou/Reinforcement-learning-with-tensorflow
10se1ucgo/DisableWinTracking
rougier/numpy-100
worldveil/dejavu
humphd/have-fun-with-machine-learning
sshuttle/sshuttle
pymc-devs/pymc3
edx/edx-platform
awslabs/aws-sam-cli
jindongwang/transferlearning
statsmodels/statsmodels
ibab/tensorflow-wavenet
fail2ban/fail2ban
bregman-arie/devops-exercises
aymericdamien/TopDeepLearning
belluzj/fantasque-sans
jopohl/urh
injetlee/Python
oarriaga/face_classification
joelgrus/data-science-from-scratch
jofpin/trape
ecthros/uncaptcha2
vishnubob/wait-for-it
FeatureLabs/featuretools
django-extensions/django-extensions
PeterDing/iScript
iterative/dvc
lancopku/pkuseg-python
lining0806/PythonSpiderNotes
docker/docker-py
HIPS/autograd
taki0112/UGATIT
albumentations-team/albumentations
Uberi/speech_recognition
isnowfy/snownlp
burnash/gspread
i-tu/Hasklig
OlafenwaMoses/ImageAI
dxa4481/truffleHog
python-visualization/folium
keras-rl/keras-rl
microsoft/MMdnn
dropbox/pyston
Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
likedan/Awesome-CoreML-Models
tensorflow/tensorboard
mzucker/noteshrink
joeyespo/grip
marshmallow-code/marshmallow
astorfi/TensorFlow-World
michael-lazar/rtv
wbond/package_control
tensorflow/cleverhans
aboul3la/Sublist3r
yunjey/stargan
modin-project/modin
warmheartli/ChatBotCourse
donnemartin/saws
hyperopt/hyperopt
lennylxx/ipv6-hosts
rmax/scrapy-redis
robotframework/robotframework
navdeep-G/setup.py
openai/spinningup
michaelliao/learn-python3
streamlink/streamlink
diafygi/acme-tiny
facebook/PathPicker
jasperproject/jasper-client
NVIDIA/pix2pixHD
lazyprogrammer/machine_learning_examples
lbryio/lbry-sdk
chyroc/WechatSogou
automl/auto-sklearn
robinhood/faust
buildbot/buildbot
Rapptz/discord.py
tkipf/gcn
Yelp/dumb-init
SpiderClub/haipproxy
sshwsfc/xadmin
davidhalter/jedi
django/channels
jarun/googler
tschellenbach/Stream-Framework
deepmind/graph_nets
SecureAuthCorp/impacket
scikit-learn-contrib/imbalanced-learn
smacke/subsync
SpiderClub/weibospider
wkentaro/labelme
facebookarchive/augmented-traffic-control
smicallef/spiderfoot
jiaaro/pydub
HypothesisWorks/hypothesis
airbnb/knowledge-repo
dmlc/dgl
wireservice/csvkit
ashnkumar/sketch-code
wb14123/seq2seq-couplet
MrS0m30n3/youtube-dl-gui
vi3k6i5/flashtext
django-oscar/django-oscar
jrnl-org/jrnl
PyTorchLightning/pytorch-lightning
google/clusterfuzz
foosel/OctoPrint
euske/pdfminer
fogleman/Minecraft
mher/flower
PaddlePaddle/models
facebookarchive/huxley
flask-admin/flask-admin
JakeWharton/pidcat
commonmark/commonmark-spec
angr/angr
gregmalcolm/python_koans
jazzband/pip-tools
NullArray/AutoSploit
deepmipt/DeepPavlov
encode/httpx
bitcoin/bips
reorx/httpstat
cloudtools/troposphere
stephenmcd/mezzanine
cloudera/hue
MycroftAI/mycroft-core
paralax/awesome-honeypots
MagicStack/asyncpg
okfn-brasil/serenata-de-amor
persepolisdm/persepolis
pre-commit/pre-commit
d2l-ai/d2l-en
PyCQA/pycodestyle
gorakhargosh/watchdog
deepmind/learning-to-learn
alicevision/meshroom
cupy/cupy
Netflix/security_monkey
WenDesi/lihang_book_algorithm
OmkarPathak/pygorithm
Kinto/kinto
nuno-faria/tiler
longld/peda
OpenNMT/OpenNMT-py
lisa-lab/DeepLearningTutorials
jisaacks/GitGutter
commaai/research
posativ/isso
GoogleCloudPlatform/python-docs-samples
fmfn/BayesianOptimization
ujjwalkarn/DataSciencePython
martinblech/xmltodict
malwaredllc/byob
NicolasHug/Surprise
NervanaSystems/neon
spesmilo/electrum
platformio/platformio-core
eriklindernoren/PyTorch-YOLOv3
stewartmcgown/uds
avinassh/rockstar
hzy46/Deep-Learning-21-Examples
realpython/discover-flask
twisted/twisted
django-crispy-forms/django-crispy-forms
micahflee/onionshare
microsoft/nlp-recipes
sdispater/pendulum
openimages/dataset
fluentpython/example-code
princewen/tensorflow_practice
dwyl/english-words
neozhaoliang/pywonderland
floydhub/dl-docker
Lasagne/Lasagne
chrippa/livestreamer
pudo/dataset
misterch0c/shadowbroker
seemoo-lab/opendrop
edgedb/edgedb
jadore801120/attention-is-all-you-need-pytorch
lmcinnes/umap
StackStorm/st2
ajalt/fuckitpy
qiyeboy/IPProxyPool
machinelearningmindset/deep-learning-roadmap
dpkp/kafka-python
dschep/ntfy
wepe/MachineLearning
snorkel-team/snorkel
google/trax
YadiraF/PRNet
MVIG-SJTU/AlphaPose
jayfk/statuspage
jazzband/tablib
naturomics/CapsNet-Tensorflow
ricequant/rqalpha
PokemonGoF/PokemonGo-Bot
MorvanZhou/Tensorflow-Tutorial
facebookresearch/DrQA
emre/storm
fastmonkeys/stellar
Qix-/better-exceptions
django-tastypie/django-tastypie
xonsh/xonsh
CouchPotato/CouchPotatoServer
AirtestProject/Airtest
conan-io/conan
utkuozbulak/pytorch-cnn-visualizations
nvdv/vprof
sripathikrishnan/redis-rdb-tools
reinderien/mimic
dylanaraps/pywal
minimaxir/textgenrnn
junyanz/iGAN
1adrianb/face-alignment
fizyr/keras-retinanet
pandolia/qqbot
karpathy/arxiv-sanity-preserver
prompt-toolkit/ptpython
scikit-image/scikit-image
encode/starlette
yhat/ggpy
dmlc/gluon-cv
miguelgrinberg/Flask-SocketIO
shidenggui/easytrader
iodide-project/pyodide
hwalsuklee/tensorflow-generative-model-collections
asweigart/pyautogui
maurosoria/dirsearch
pavelgonchar/colornet
laramies/theHarvester
xingyizhou/CenterNet
nylas/sync-engine
lukemelas/EfficientNet-PyTorch
NVIDIA/apex
offu/WeRoBot
volatilityfoundation/volatility
stamparm/maltrail
yosinski/deep-visualization-toolbox
conda/conda
jcjohnson/pytorch-examples
pypa/virtualenv
twintproject/twint
openstack/openstack
DEAP/deap
adamchainz/django-cors-headers
taoufik07/responder
jmcarp/robobrowser
google/roboto
bigchaindb/bigchaindb
iGhibli/iOS-DeviceSupport
mementum/backtrader
MechanicalSoup/MechanicalSoup
yahoo/TensorFlowOnSpark
LazoCoder/Pokemon-Terminal
awentzonline/image-analogies
jarun/buku
google/grr
zzzeek/sqlalchemy
Kozea/WeasyPrint
PySimpleGUI/PySimpleGUI
LonamiWebs/Telethon
cchen156/Learning-to-See-in-the-Dark
hylang/hy
googleapis/google-api-python-client
amdegroot/ssd.pytorch
librosa/librosa
aidlearning/AidLearning-FrameWork
spulec/moto
rkern/line_profiler
rarcega/instagram-scraper
nameko/nameko
eudicots/Cactus
msiemens/tinydb
ritiek/spotify-downloader
ReactiveX/RxPY
Pylons/pyramid
Jrohy/multi-v2ray
jorgebastida/awslogs
trekhleb/learn-python
mrjbq7/ta-lib
buriburisuri/speech-to-text-wavenet
spyoungtech/grequests
samuelhwilliams/Eel
amperser/proselint
facebook/codemod
codertimo/BERT-pytorch
rossant/awesome-math
NVlabs/stylegan2
mwouts/jupytext
byt3bl33d3r/CrackMapExec
arielf/weight-loss
mininet/mininet
kkroening/ffmpeg-python
hhatto/autopep8
gaubert/gmvault
QUANTAXIS/QUANTAXIS
endernewton/tf-faster-rcnn
Tautulli/Tautulli
PyGithub/PyGithub
jeffkaufman/icdiff
instagrambot/instabot
s3tools/s3cmd
Guake/guake
ClusterHQ/flocker
simonw/datasette
lektor/lektor
raspberrypi/documentation
kootenpv/whereami
dabeaz/curio
opencv/cvat
mbadry1/DeepLearning.ai-Summary
corna/me_cleaner
tensorflow/skflow
Blizzard/s2client-proto
pyca/cryptography
tckmn/mkcast
Newmu/dcgan_code
yuanxiaosc/DeepNude-an-Image-to-Image-technology
Tribler/tribler
snipsco/snips-nlu
gnemoug/distribute_crawler
apachecn/sklearn-doc-zh
sphinx-doc/sphinx
MrGemy95/Tensorflow-Project-Template
vaexio/vaex
felixonmars/dnsmasq-china-list
aziz/PlainTasks
spadgos/sublime-jsdocs
jpadilla/pyjwt
shobrook/rebound
santinic/pampy
googleapis/google-cloud-python
SpiderLabs/Responder
timofurrer/maya
livid/v2ex-gae
hunkim/PyTorchZeroToAll
guardicore/monkey
not-kennethreitz/osx-gcc-installer
zalando/patroni
cookiecutter-flask/cookiecutter-flask
donnemartin/haxor-news
mantl/mantl
andresriancho/w3af
orakaro/rainbowstream
facebookresearch/pythia
benedekrozemberczki/awesome-graph-classification
STVIR/pysot
lutris/lutris
msracver/Deformable-ConvNets
wal-e/wal-e
MongoEngine/mongoengine
cowrie/cowrie
CSAILVision/semantic-segmentation-pytorch
astorfi/Deep-Learning-Roadmap
midgetspy/Sick-Beard
Kaggle/kaggle-api
python-trio/trio
navdeep-G/samplemod
andabi/deep-voice-conversion
drivendata/cookiecutter-data-science
ildoonet/tf-pose-estimation
trustedsec/ptf
pallets/flask-sqlalchemy
drathier/stack-overflow-import
mstamy2/PyPDF2
Netflix/metaflow
christabor/flask_jsondash
miyakogi/pyppeteer
DanMcInerney/wifijammer
espressif/esptool
nteract/papermill
gaojiuli/toapi
PaddlePaddle/ERNIE
zalando/connexion
CharlesShang/FastMaskRCNN
kstenerud/iOS-Universal-Framework
mongodb/mongo-python-driver
python-attrs/attrs
JuanPotato/Legofy
lyst/lightfm
farizrahman4u/seq2seq
jinfagang/tensorflow_poems
eon01/kubernetes-workshop
what-studio/profiling
coala/coala
skorch-dev/skorch
kachayev/fn.py
QingdaoU/OnlineJudge
SmirkCao/Lihang
cloudflare/flan
yzhao062/pyod
Kyubyong/transformer
byt3bl33d3r/MITMf
deepmind/trfl
brython-dev/brython
tyiannak/pyAudioAnalysis
androguard/androguard
LiuXingMing/SinaSpider
Sentdex/pygta5
NTMC-Community/MatchZoo
run-youngjoo/SC-FEGAN
carltongibson/django-filter
django-haystack/django-haystack
billryan/algorithm-exercise
joestump/python-oauth2
idealo/imagededup
instantbox/instantbox
shenweichen/DeepCTR
llSourcell/learn_math_fast
yasoob/intermediatePython
Kr1s77/Python-crawler-tutorial-starts-from-zero
jpadilla/django-rest-framework-jwt
tlbootcamp/tlroadmap
Avik-Jain/100-Days-of-ML-Code-Chinese-Version
bear/python-twitter
google/diff-match-patch
jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction
mooz/percol
nryoung/algorithms
rembo10/headphones
P0cL4bs/WiFi-Pumpkin
imWildCat/scylla
fivesheep/chnroutes
bijection/sistine
docker/docker-registry
anishathalye/dotbot
golemfactory/golem
pypa/pipfile
scrapinghub/splash
janeczku/calibre-web
nficano/pytube
AKSHAYUBHAT/DeepVideoAnalytics
freedomofpress/securedrop
theskumar/python-dotenv
ryankiros/neural-storyteller
plasma-disassembler/plasma
coleifer/huey
pytransitions/transitions
kemayo/sublime-text-git
gaussic/text-classification-cnn-rnn
blaze/blaze
RocketMap/RocketMap
jrosebr1/imutils
ubuntu/microk8s
easy-tensorflow/easy-tensorflow
thearn/webcam-pulse-detector
chrissimpkins/Crunch
miguelgrinberg/microblog
rtqichen/torchdiffeq
taki0112/Tensorflow-Cookbook
stanfordnlp/stanfordnlp
Mckinsey666/bullet
rasbt/mlxtend
elastic/elasticsearch-dsl-py
gbeced/pyalgotrade
SublimeText-Markdown/MarkdownEditing
omab/python-social-auth
hephaest0s/usbkill
RoganDawes/P4wnP1
listen1/listen1
ethereon/caffe-tensorflow
joshua-wu/deepfakes_faceswap
huyingxi/Synonyms
noamraph/tqdm
caronc/apprise
pyinvoke/invoke
pybrain/pybrain
ownthink/KnowledgeGraphData
jeanphix/Ghost.py
lawlite19/MachineLearning_Python
brennerm/PyTricks
madhavanmalolan/awesome-reactnative-ui
geopy/geopy
jackzhenguo/python-small-examples
rwightman/pytorch-image-models
pypa/sampleproject
Qiskit/qiskit-terra
eragonruan/text-detection-ctpn
qiwsir/algorithm
cloud-custodian/cloud-custodian
r0oth3x49/udemy-dl
rbgirshick/fast-rcnn
Luolc/AdaBound
